gas_line_gz1,gas_line_gz2,period,GAS_LINES,gas_line_build_directional_cap,gas_line_directional_total_cap,gas_line_build_general_cap,gas_line_general_total_cap
MN,IA,2023,IA_MN,0,4.27762e+06,0,4.98693e+06
CO,OK,2023,CO_OK,0,533018,0,533018
AZ,NM,2023,AZ_NM,0,0,0,6.46258e+06
AL,MS,2023,AL_MS,0,3.67616e+06,0,2.31012e+07
AL,FL,2023,AL_FL,0,5.03982e+06,0,5.03982e+06
KY,IN,2023,IN_KY,0,3.74772e+06,0,6.08408e+06
WV,KY,2023,KY_WV,5.28867e+06,9.46571e+06,2.41929e+06,9.46571e+06
DE,NJ,2023,DE_NJ,0,146217,0,146217
KY,OH,2023,KY_OH,0,4.31807e+06,0,8.49096e+06
GA,TN,2023,GA_TN,0,156587,1.36127e+06,1.70141e+06
AR,OK,2023,AR_OK,0,20740,0,2.23888e+06
SD,MN,2023,MN_SD,0,2.46288e+06,0,2.46288e+06
IA,SD,2023,IA_SD,0,97478,0,97478
SD,IA,2023,IA_SD,0,20740,0,97478
WV,PA,2023,PA_WV,0,7.15841e+06,0,1.44693e+07
MT,ND,2023,MT_ND,0,3.31736e+06,0,3.41484e+06
MS,TN,2023,MS_TN,0,1.04001e+07,0,1.80977e+07
WV,OH,2023,OH_WV,0,9.83594e+06,0,1.16424e+07
AR,TX,2023,AR_TX,0,1.56587e+06,0,3.05293e+06
GA,AL,2023,AL_GA,0,2.06985e+06,0,1.04903e+07
IA,MN,2023,IA_MN,0,2.00141e+06,0,4.98693e+06
FL,AL,2023,AL_FL,0,0,0,5.03982e+06
MA,NY,2023,MA_NY,0,0,1.12045e+06,2.3327e+06
NE,KS,2023,KS_NE,0,1.90808e+06,0,6.28007e+06
FL,GA,2023,FL_GA,0,0,0,1.76083e+06
KS,NE,2023,KS_NE,0,4.46428e+06,0,6.28007e+06
MS,AL,2023,AL_MS,0,2.11942e+07,0,2.31012e+07
OK,AR,2023,AR_OK,0,2.23888e+06,0,2.23888e+06
OR,ID,2023,ID_OR,0,498797,532831,1.2131e+06
NE,CO,2023,CO_NE,0,2.81338e+06,0,3.00263e+06
NM,UT,2023,NM_UT,0,0,0,0
UT,NV,2023,NV_UT,734087,4.82505e+06,734087,4.82505e+06
KY,IL,2023,IL_KY,777750,2.37888e+06,0,2.37888e+06
VA,MD,2023,MD_VA,0,6.12037e+06,0,8.50236e+06
IL,MO,2023,IL_MO,0,4.19985e+06,0,9.40248e+06
AZ,UT,2023,AZ_UT,0,0,0,0
ID,UT,2023,ID_UT,0,309026,0,705160
WY,ID,2023,ID_WY,0,0,0,0
PA,NJ,2023,NJ_PA,0,1.11955e+07,0,1.11955e+07
MS,LA,2023,LA_MS,0,6.8805e+06,0,2.78704e+07
NV,OR,2023,NV_OR,0,1.5555e+06,0,1.5555e+06
KY,WV,2023,KY_WV,0,2.94819e+06,2.41929e+06,9.46571e+06
SD,NE,2023,NE_SD,0,129625,0,129625
AL,TN,2023,AL_TN,0,4.29318e+06,0,7.50166e+06
TN,MO,2023,MO_TN,0,0,0,0
SC,GA,2023,GA_SC,0,2.26688e+06,0,7.09204e+06
RI,MA,2023,MA_RI,0,1.22366e+06,0,1.61772e+06
VA,TN,2023,TN_VA,0,228140,0,228140
IA,NE,2023,IA_NE,0,0,0,3.42417e+06
TN,KY,2023,KY_TN,0,1.30621e+07,0,2.36218e+07
NE,WY,2023,NE_WY,0,0,0,2.83723e+06
NH,VT,2023,NH_VT,13606.2,13606.2,13606.2,13606.2
NV,CA,2023,CA_NV,2.71082e+06,4.98081e+06,2.52727e+06,4.98081e+06
AL,GA,2023,AL_GA,0,9.19404e+06,0,1.04903e+07
VA,DC,2023,DC_VA,0,186660,0,186660
LA,TX,2023,LA_TX,0,4.60428e+06,0,2.25963e+07
MD,VA,2023,MD_VA,0,4.5711e+06,0,8.50236e+06
WY,SD,2023,SD_WY,61183,89182,0,89182
TX,OK,2023,OK_TX,0,4.70902e+06,0,9.93446e+06
WY,MT,2023,MT_WY,0,1.01004e+06,0,1.13344e+06
NC,TN,2023,NC_TN,0,0,0,0
CA,AZ,2023,AZ_CA,0,720715,0,8.25348e+06
NC,VA,2023,NC_VA,0,3.45425e+06,0,6.61191e+06
MT,ID,2023,ID_MT,66249.6,66249.6,66249.6,66249.6
CO,KS,2023,CO_KS,0,1.5752e+06,0,1.5752e+06
KY,TN,2023,KY_TN,0,1.0565e+07,0,2.36218e+07
TX,LA,2023,LA_TX,0,1.92643e+07,0,2.25963e+07
MO,OK,2023,MO_OK,0,0,5.2101e+06,5.29306e+06
MN,ND,2023,MN_ND,0,138958,0,2.08333e+06
KY,VA,2023,KY_VA,0,51850,0,51850
NH,ME,2023,ME_NH,0,1.40928e+06,0,2.30525e+06
PA,DE,2023,DE_PA,0,755973,0,755973
MO,KY,2023,KY_MO,0,0,0,0
NC,GA,2023,GA_NC,2.58314e+06,2.58314e+06,2.58314e+06,2.58314e+06
NY,MA,2023,MA_NY,1.12045e+06,2.3327e+06,1.12045e+06,2.3327e+06
MT,WY,2023,MT_WY,0,382653,0,1.13344e+06
MA,NH,2023,MA_NH,0,1.11789e+06,0,1.95371e+06
WV,VA,2023,VA_WV,0,2.07675e+09,0,2.07675e+09
DE,PA,2023,DE_PA,0,0,0,755973
MO,KS,2023,KS_MO,0,0,0,5.11656e+06
NJ,NY,2023,NJ_NY,0,5.39033e+06,0,5.6755e+06
UT,CO,2023,CO_UT,0,749751,0,1.09196e+06
AR,TN,2023,AR_TN,25925,25925,0,25925
CO,AZ,2023,AZ_CO,0,0,0,0
SD,ND,2023,ND_SD,0,54961,0,2.51887e+06
TN,NC,2023,NC_TN,0,0,0,0
DC,VA,2023,DC_VA,0,0,0,186660
OK,NM,2023,NM_OK,0,0,0,0
CO,WY,2023,CO_WY,0,4.88946e+06,0,7.50477e+06
WY,NE,2023,NE_WY,0,2.83723e+06,0,2.83723e+06
TN,AR,2023,AR_TN,0,25925,0,25925
ID,OR,2023,ID_OR,768230,1.2131e+06,532831,1.2131e+06
IL,KY,2023,IL_KY,0,777750,0,2.37888e+06
WI,IL,2023,IL_WI,0,725900,0,3.78505e+06
NM,OK,2023,NM_OK,0,0,0,0
KS,MO,2023,KS_MO,0,5.11656e+06,0,5.11656e+06
WY,UT,2023,UT_WY,0,6.03949e+06,0,6.65236e+06
RI,CT,2023,CT_RI,0,285175,0,1.56587e+06
UT,AZ,2023,AZ_UT,0,0,0,0
LA,AR,2023,AR_LA,0,8.19541e+06,0,1.24098e+07
WI,MI,2023,MI_WI,0,2.54687e+06,0,3.20018e+06
CT,RI,2023,CT_RI,285175,1.56587e+06,0,1.56587e+06
KS,OK,2023,KS_OK,0,919819,0,6.55902e+06
IL,IN,2023,IL_IN,0,9.94898e+06,0,1.30081e+07
